subgraph_id,ipfs_hash,is_latest,signal_amount_formatted,query_volume_30d,active_indexers,indexer_count,indexers_responding,sync_percentage,indexer_sync_percentages
3V7ZY6muhxaQL5qvntX1CFXJ32W7BxXZTGTwmpH5J4t3,Qmcdu8weFbmtZpeZaGs8vCpSdWKRPwyvDMX6CftYnW2KZB,True,"22,539.62",10635770,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xedca8740873152ff30a2696add66d1ab41882beb, 0xeccdf8231326a9c5aad32df76a633aaa4c49b104",3,3,99.0%,"99%, 99%, 93%"
2sPwHiwmBhF1JN1eh5cBLpVvdMBED9ifu3vvn1gyhpsW,Qmd6UuNsMoDK2RURU8xXdi65Ce6Uk45m8SErozw1ewSXra,True,1.00,24,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
3a88zQrAoRYVhPKzzQXwUB4ZkTHohjq1nU5onxyvsZMK,QmQXxC5kmwU6QTPAwL7YGKRrgxfypEa7gfQShtf1UH18gV,True,0,4,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
5GwPCwBmgQ5Uw23ZGtfj8Jfsuye12crxkz5RdYvKtT8h,QmY6FLAhghwGn2gh9cb299sySZ2DUY8GkSh1A1PesfmUcC,True,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
7PCcxpeco1VPmLTAUkM1yRQkocQtYJoo7RLHRDvqaRq,QmeYmmwMb8YcT3EAcNkf4sm8oqxsmXPqaAE1MDy6PoGzoh,True,0,629894,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
71ZkLj7benQXYSTPWQP7Uj3W1QG2AjRmB1xZb4uezaZ8,QmUeFid4o6di9PL6dCWEJcuLo8hWAjbkNbpHgcVkpY9das,True,0,4,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmR5rgva4P1j1ijtet7VFKYDqvJwPhfHiUtQubPA3emYSn,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmdChDc6oXUXpt2cHQVMbmPACoqxu6bD2YekxQjFtvvWzh,False,0,132,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmVJep6HL7r4Z51sTctv9j12sRK7cfnCNgS9JKVdavtb1g,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
6xozxD3hugFb5Bx8Ej59WCx777TGzFuzeHKnmTRnZD4n,QmNkpRvjVHc5XStoaDoFuJq79D8VzjBSFwozWj3EAFPzJ6,True,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
