subgraph_id,ipfs_hash,signal_amount,active_indexers,indexer_sync_percentages,indexer_count,query_volume_30d,query_volume_days,indexers_responding,indexers_synced,indexers_healthy,sync_percentage
2LzmAwGnnx9QFCWFKXcQSW25NSmWdPz2xmyhvNdhiMiV,QmbQYPw1hwetxokYJ2RsmZwSdz8wTwokM67SQuaYPVt1Hv,0,None,None,0,0,0,0,0,0,0%
2LzmAwGnnx9QFCWFKXcQSW25NSmWdPz2xmyhvNdhiMiV,QmcgQDL7geSKZPeaTtYtKtxo83kGkLBhjcArT85jhWnbEo,1379497437692995274,None,None,0,21,30,0,0,0,0%
2sPwHiwmBhF1JN1eh5cBLpVvdMBED9ifu3vvn1gyhpsW,Qmd6UuNsMoDK2RURU8xXdi65Ce6Uk45m8SErozw1ewSXra,999999999999999999,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,100%,1,24,30,1,1,0,100.0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmbrFUBJRnh5yKwxiem6KEzEtbdcNuU3VT9qUVYitVBGvw,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmV316dNff6bqBin7eJw6kSf3hJeNNb5iQmYEHFDCpPu9s,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmYDPeVD8tZ3JueTYcpSuXGtphGBJ2nx8YwePAqnorjM23,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmehdE6BS2uPR6avHoMS7AaN6ethqPQPLASro4joc74kPA,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmUvzsQqif41g2vc1XticrAFy6GtE9EwTyYeRVwM7CY4Wu,0,None,None,0,0,0,0,0,0,0%
3H9wustUKhZs3pCkF4qcKQCLy8h7VC8KntqQz4Jpy8KD,QmRAmjU6WWfB6SZbqhSWUrnAZRdzhpD6PARXjLMJXtoZPZ,1464559034622456391218,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51, 0xedca8740873152ff30a2696add66d1ab41882beb","100%, 100%, 99%",3,79380,30,3,3,3,100.0%
3LAyKe1ULM4nA3cUFRgWzY3U8wSMXSMyAHZLxzxrTZ2c,QmVGXxWk85ASzfdtHa5XphGSZzFmi4AuUne8dv3aC2jz6z,0,None,None,0,0,0,0,0,0,0%
3LAyKe1ULM4nA3cUFRgWzY3U8wSMXSMyAHZLxzxrTZ2c,QmWRzcHZRwgJGCtSiW1pGLs6aVYnYKeEeVBcke2jQ7qp2Q,0,None,None,0,0,0,0,0,0,0%
3LAyKe1ULM4nA3cUFRgWzY3U8wSMXSMyAHZLxzxrTZ2c,QmNyYATJuzcWWHFGWM2Gnf2XrP7beCm8EeFxmdAdX4muYH,1803436187886036693705,"0x35917c0eb91d2e21bef40940d028940484230c06, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d, 0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x920fdeb00ee04dd72f62d8a8f80f13c82ef76c1e, 0xe13840a2e92e0cb17a246609b432d0fa2e418774","100%, 100%, 99%, 97%, 99%, 99%",6,2809300,30,6,6,6,100.0%
3V7ZY6muhxaQL5qvntX1CFXJ32W7BxXZTGTwmpH5J4t3,Qmcdu8weFbmtZpeZaGs8vCpSdWKRPwyvDMX6CftYnW2KZB,22539621048100658363639,"0xedca8740873152ff30a2696add66d1ab41882beb, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xeccdf8231326a9c5aad32df76a633aaa4c49b104","100%, 99%, 93%",3,10630694,30,3,2,3,100.0%
3a88zQrAoRYVhPKzzQXwUB4ZkTHohjq1nU5onxyvsZMK,QmQXxC5kmwU6QTPAwL7YGKRrgxfypEa7gfQShtf1UH18gV,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,99%,1,4,30,1,1,1,99.0%
41aFCdU2ofcR5KRrvFN5jxePAPjDaY2c1di5mZdmPqND,QmVbcDcT2s2BViXjqjLRqYDHRFgi5sJVjjf6KqKxbW8Csv,9126928009318975221789,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce, 0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0xdecba5154aab37ae5e381a19f804f3af4d1bcbb5, 0x35917c0eb91d2e21bef40940d028940484230c06, 0x4e5c87772c29381bcabc58c3f182b6633b5a274a, 0x920fdeb00ee04dd72f62d8a8f80f13c82ef76c1e, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d, 0xedca8740873152ff30a2696add66d1ab41882beb, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51","100%, 100%, 99%, 100%, 99%, 81%, 87%, 100%, 99%, 99%",10,7904781,30,10,10,7,100.0%
4oYKWwTeEzJaFnRM7YtT2SsogtdtiWonHb3hiS3eMRWo,Qmb27RY3RqP98UMKbTgScf6F7hhokfMuS9fV7VAtPiZHwF,11724314838275978414933,"0xedca8740873152ff30a2696add66d1ab41882beb, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0x38f412c8d6346a17a53ff9ceecd2e01acecd27c0, 0x35917c0eb91d2e21bef40940d028940484230c06, 0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce, 0x9082f497bdc512d08ffde50d6fce28e72c2addcf, 0xe13840a2e92e0cb17a246609b432d0fa2e418774, 0x7bb834017672b1135466661d8dd69c5dd0b3bf51, 0xdecba5154aab37ae5e381a19f804f3af4d1bcbb5, 0xf00f7157fa8fd0420b87956d46058a16b2f23adc, 0x1b7e0068ca1d7929c8c56408d766e1510e54d98d","100%, 100%, 100%, 100%, 100%, 99%, 99%, 100%, 99%, 100%, 100%",11,16089025,30,11,11,10,100.0%
